target,fold,seed,logloss,mean,std
S2,4,314,0.5893075571322197,0.5604306724988698,0.02349064725409024
S2,0,2025,0.6071964025997119,0.5604306724988698,0.02349064725409024
S2,1,2025,0.5697105358419802,0.5604306724988698,0.02349064725409024
S2,2,2025,0.5431039502004179,0.5604306724988698,0.02349064725409024
S2,3,2025,0.557681549854379,0.5604306724988698,0.02349064725409024
S2,4,2025,0.541559789573116,0.5604306724988698,0.02349064725409024
S2,0,777,0.5490411636861796,0.5604306724988698,0.02349064725409024
S2,1,777,0.5477915777401022,0.5604306724988698,0.02349064725409024
S2,2,777,0.5651053507997009,0.5604306724988698,0.02349064725409024
S2,3,777,0.6037185837553505,0.5604306724988698,0.02349064725409024
S2,4,777,0.5157950340979874,0.5604306724988698,0.02349064725409024
S2,0,555,0.5788515730278324,0.5604306724988698,0.02349064725409024
S2,1,555,0.5780561947554259,0.5604306724988698,0.02349064725409024
S2,2,555,0.5371291845050544,0.5604306724988698,0.02349064725409024
S2,3,555,0.5468899588180816,0.5604306724988698,0.02349064725409024
S2,4,555,0.6143004838180848,0.5604306724988698,0.02349064725409024
S3,0,42,0.5270286757561178,0.5388939615182169,0.0383720481996385
S3,1,42,0.5707613274829502,0.5388939615182169,0.0383720481996385
S3,2,42,0.5515009375484999,0.5388939615182169,0.0383720481996385
S3,3,42,0.5655089480877957,0.5388939615182169,0.0383720481996385
S3,4,42,0.5636263708713918,0.5388939615182169,0.0383720481996385
S3,0,1234,0.5347324612732768,0.5388939615182169,0.0383720481996385
S3,1,1234,0.513778851560033,0.5388939615182169,0.0383720481996385
S3,2,1234,0.5829726860292285,0.5388939615182169,0.0383720481996385
S3,3,1234,0.5974761072873014,0.5388939615182169,0.0383720481996385
S3,4,1234,0.4553326639413828,0.5388939615182169,0.0383720481996385
S3,0,9999,0.5592025468163598,0.5388939615182169,0.0383720481996385
S3,1,9999,0.5083342360349946,0.5388939615182169,0.0383720481996385
S3,2,9999,0.5628905197116205,0.5388939615182169,0.0383720481996385
S3,3,9999,0.528663557762676,0.5388939615182169,0.0383720481996385
S3,4,9999,0.5968175436772646,0.5388939615182169,0.0383720481996385
